County,State,Average Temperature,Latitude (generated),Longitude (generated),Year,Month
Wright,Iowa,25.48,42.7343,-93.7351,2016,2
Worth,Iowa,21.9,43.3787,-93.2608,2016,2
Woodbury,Iowa,30.71,42.3866,-96.0407,2016,2
Winneshiek,Iowa,25.48,43.2932,-91.8426,2016,2
Winnebago,Iowa,23.26,43.3803,-93.7342,2016,2
Webster,Iowa,25.33,42.4344,-94.1647,2016,2
Wayne,Iowa,30.78,40.7372,-93.327,2016,2
Washington,Iowa,30.88,41.3304,-91.7158,2016,2
Warren,Iowa,29.33,41.3336,-93.5592,2016,2
Wapello,Iowa,31.07,41.0308,-92.4096,2016,2
Van Buren,Iowa,31.45,40.7517,-91.9485,2016,2
Union,Iowa,30.71,41.0298,-94.2429,2016,2
Taylor,Iowa,32.72,40.734,-94.7,2016,2
Tama,Iowa,26.81,42.0847,-92.533,2016,2
Story,Iowa,29.02,42.037,-93.4652,2016,2
Sioux,Iowa,27,43.0847,-96.1572,2016,2
Shelby,Iowa,29.57,41.6806,-95.3254,2016,2
Scott,Iowa,29.69,41.6065,-90.62,2016,2
Sac,Iowa,25.9,42.3887,-95.0899,2016,2
Ringgold,Iowa,31.83,40.7361,-94.2434,2016,2
Poweshiek,Iowa,27.6,41.6853,-92.5332,2016,2
Pottawattamie,Iowa,31.1,41.3347,-95.5518,2016,2
Polk,Iowa,28.47,41.6673,-93.5815,2016,2
Pocahontas,Iowa,25.88,42.7329,-94.6786,2016,2
Plymouth,Iowa,27,42.7356,-96.2455,2016,2
Palo Alto,Iowa,25.31,43.0818,-94.6781,2016,2
Page,Iowa,33.5,40.7362,-95.1569,2016,2
Osceola,Iowa,23.72,43.3805,-95.624,2016,2
Obrien,Iowa,27.33,43.0766,-95.6242,2016,2
Muscatine,Iowa,30.41,41.47,-91.0769,2016,2
Montgomery,Iowa,33.28,41.0305,-95.1562,2016,2
Monroe,Iowa,29.98,41.0265,-92.8691,2016,2
Monona,Iowa,29.22,42.0396,-95.9525,2016,2
Mitchell,Iowa,23.19,43.3501,-92.7891,2016,2
Mills,Iowa,32.91,41.0311,-95.6218,2016,2
Marshall,Iowa,27.6,42.0363,-92.9991,2016,2
Marion,Iowa,29.31,41.3353,-93.0995,2016,2
Mahaska,Iowa,30.24,41.3323,-92.6409,2016,2
